concepto_cleared,categoria,metodo_algoritmo,explicacion
pago acta parcial correspondiente pago mensual periodo mes mes mes mes mes mes mes mes segun contrato interventoria cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos ejecucion obras necesarias adecuacion mejoramiento instituciones educativa ubicadas zona estrategica intervencion integral zeii zona pacifico nariñense choco priorizadas fondo financiamiento infraestructura educativa ffie marco acuerdo financiacion suscrito fondo paz cada proyectos adelantara acuerd,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,El objeto es la interventoría técnica de proyectos de construcción y adecuación de infraestructura educativa.
pago acta parcial correspondiente pago variable avance obra correspondiente periodo mes mes segun contrato interventoria cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos ejecucion obras necesarias adecuacion mejoramiento instituciones educativa ubicadas zona estrategica intervencion integral zeii zona pacifico nariñense choco priorizadas fondo financiamiento infraestructura educativa ffie marco acuerdo financiacion suscrito fondo paz cada proyectos adelantara acuerdo especificaciones tecnicas contenidas presente document,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Es el pago por servicios de interventoría sobre la ejecución de obras de infraestructura.
costo mensual periodo gota villavicencio meta,Servicios Generales,gemini-3.1-flash-lite-preview,"El concepto carece de información suficiente para determinar una categoría específica, por lo que se clasifica como general."
pago variable avance obra acuerdo avance parcial obra corte gota villavicencio meta cuyo deudor alianza fiduciaria fideicomisos nit acta parcial,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Se trata de un pago por avance en la ejecución de obra civil.
reembolso gastos viaje bogota pereira filandia armenia bogota,Reembolso,gemini-3.1-flash-lite-preview,Constituye la devolución de gastos operativos por concepto de viajes y viáticos.
recobro incapacidad mes contrato,Reembolso,gemini-3.1-flash-lite-preview,El recobro de incapacidades es un reintegro de gastos laborales previamente asumidos.
reembolso gastos viaje bogota bucaramanga floridablanca bucaramanga bogota santamarta aracataca reten pivijay plato santa barbara pinto guamal urquijo santamarta bogota,Reembolso,gemini-3.1-flash-lite-preview,Corresponde al reintegro de gastos de viaje y viáticos incurridos por un tercero en el ejercicio de actividades operativas.
reembolso gasto viaje transporte terrestre magdalena,Reembolso,gemini-3.1-flash-lite-preview,Se trata de la devolución de gastos de viaje asociados al transporte terrestre en el departamento del Magdalena.
ejecutar obras necesarias mejoramiento residencias escolares sedes instituciones educativas territorio nacional priorizados fondo financiamiento infraestructura educativa ffie,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Contrato destinado a la ejecución de obras físicas de mejoramiento y adecuación en infraestructura educativa nacional.
reembolso gastos viaje bogota buenaventura puerto merizalde vereda primavera buenaventura bogota,Reembolso,gemini-3.1-flash-lite-preview,Pago por concepto de reintegro de gastos de viaje realizados en el ejercicio de funciones encomendadas.
reembolso gastos viaje bogota cali buenaventura puerto merizalde vereda primavera buenaventura cali bogota,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de gastos de viaje operativos incurridos para el traslado de personal a zonas específicas del país.
reembolso gastos viaje bogota rionegro envigado medellin bello rionegro bogota,Reembolso,gemini-3.1-flash-lite-preview,Reembolso de gastos de viaje por desplazamientos realizados entre municipios para actividades de la compañía.
contrato obra acta parcial obra objeto ejecutar actividades posventa instituciones educativas etc cali departamento valle cauca requeridas ffie desarrollo pnie correspondiente mes caicedo tellez sede batalla carabobo municipio cali antonio jose camacho republica peru municipio cali politecnico municipal sede principal municipio cali eustaquio palacios sede general anzoategui municipio cali republica argentina sede sebastian belalcazar municipio cali periodo correspondiente mes mes costo venta,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Ejecución de obras y actividades de posventa en infraestructura educativa bajo contrato de obra pública.
acta parcial cuyo objeto ejecutar obras necesarias mejoramiento residencias escolares sedes instituciones educativas territorio nacional priorizados fondo financiamiento infraestructura periodo acta,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Pago parcial por ejecución de obras civiles de mejoramiento en sedes escolares.
costos directos obra,Contratos de construcción y urbanización,KEYWORD,
reembolso gastos viaje contrato viaje bogota cali corinto cali bogota mes,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de gastos de viaje asociados al cumplimiento de contratos de servicios o visitas técnicas.
acta parcial contrato interventoria “interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras institucion educativa tecnico industrial gustavo jimenez sede principal ubicada municipio sogamoso departamento boyaca” periodo comprendido mes mes desarrollo actividades realizadas institucion educativa gustavo jimenez sede ppal favor realizar transferencia electronica cuent,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio de interventoría integral técnica y administrativa para obras de infraestructura educativa.
valor costos directo estudios diseños institucion educativa,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Pago por costos directos relacionados con estudios y diseños técnicos para infraestructura educativa.
servicios profesionales periodo mes acuerdo contrato cps,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por la prestación de servicios profesionales independientes bajo modalidad de contrato de prestación de servicios.
pago variable avance obra cincuenta ciento valor contrato interventoria comprende mes fernandez medina sede buenvivir restrepo monteloro sede san vicente paul tulua alfonso zawadzky sede antonia santos yotoco zaragoza sede instituto agricola zaragoza cartago tulia sede antonio nariño bolivar luis gabriel umaña morales sede luis gabriel umaña morales zarzal,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Pago por avance de servicios de interventoría sobre contratos de obra pública.
pago liquidacion diez ciento valor total contrato interventoria,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Pago correspondiente a la liquidación final de un contrato de interventoría de obra.
pago liquidacion diez ciento valor total contrato interventoria segun modificacion,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Pago por liquidación de contrato de interventoría, incluyendo modificaciones contractuales acordadas."
pago variables contrato interventoria avance obra segun modificacion,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Corresponde al pago de servicios de supervisión, control técnico y vigilancia sobre la ejecución de obras de infraestructura."
realizar ejecucion obras complementarias instituciones educativas pertenecientes etc duitama boyaca tecnico industrial rafael reyes colegio tecnico simon bolivar jose miguel silva plazas acta parcial periodo mes mes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Actividades de ejecución de obra civil, construcción y mejoramiento de infraestructura física en instituciones educativas."
pago contrato prestacion servicios profesionales oct prestar servicios profesionales realizar asesoria gestion apoyo acompañamiento direccion tec fife cta ahorros banco bta,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Pago por servicios profesionales de consultoría, asesoría y gestión técnica prestados por personas naturales o jurídicas sin relación laboral."
interventoria pagos variables contrato interventoria avance obra valor fase contrato interventoria correspondiente adicion lugar presta servicio antonio ricaurte municipio riosucio choco favor realizar transferencia electronica consignacion cuenta ahorros banco davivienda nombre arquitectura urbanismo siglo xxi sas nit acta parcial actividades realizadas mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Pago derivado de la prestación de servicios de interventoría y supervisión técnica en obras de infraestructura.
costo ditecto obra,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Costos asociados directamente a la ejecución, materiales o mano de obra de un proyecto de construcción."
